,Common name,Family,IUCN,Order,Subspecies,BioSample,Bioproject accession,Captivity details,Coordinate notes,Country,County/District,Date collected,Elevation (masl),Genome Accession,Latitude,Longitude,Museum ID/Source specimen ID,SRA Accession,Sexb10k,Site,Source institution,State/Province,Tissue,CG content(%),"Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)",Contig_L50 (bp),Contig_N50 (bp),Contig_Num,Depth,"Fragmented BUSCOs (F, %)",Gap_Len (bp),Gap_Ratio (%),"Missing BUSCOs (M, %)",Scaffold_L50 (bp),Scaffold_N50 (bp),Scaffold_Num (bp),Total_Len (bp),AssemblyAccession,AssemblyName,Organism,AssemblyStatus,Coverage,ContigN50,ScaffoldN50,Sex,Species,Complex_ZW,dnms
43,Red-billed Oxpecker,Buphagidae,Least Concern,Passeriformes,monotypic,SAMN12253904,PRJNA545868,,,Botswana,Central District,17-Aug-11,,VZTT00000000,21.83 S,28.39 E,KU:120349,"SRR9946557, SRR9946558, SRR9946559, SRR9946560",Male,"Lepokole Hills, 16 km N of Bobonong","University of Kansas Biodiversity Institute & Natural History Museum, USA",,missing,41.87,65.8,0.7,65.1,27874,8230,919569,50.0,15.7,107413478,9.83,18.5,7382,34573,638016,1092204515,GCA_013400855.1,ASM1340085v1,Buphagus erythrorhynchus (red-billed oxpecker),Scaffold,50,13219.0,37415.0,male,Buphagus_erythrorhynchus,False,0
44,Double-striped Thick-knee,Burhinidae,Least Concern,Charadriiformes,vocifer,SAMN12253814,PRJNA545868,,,Guyana,,18-Apr-00,150-200,VYXH00000000,2.87 N,59.27 W,USNM:626233,"SRR9947269, SRR9947270, SRR9947069",Female,"Wiwitau Mountain, East Rupununi Savannah","National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.89,93.2,0.9,92.3,12872,27518,284958,42.0,4.3,13322906,1.08,2.5,841,398556,185359,1229614579,GCA_013397275.1,ASM1339727v1,Burhinus bistriatus (birds),Scaffold,42,46939.0,409133.0,female,Burhinus_bistriatus,False,0
45,Muscovy Duck,Anatidae,Least Concern,Anseriformes,domestica,SAMN08035743,PRJNA417448,Captive,"Captive bird, hence no coordinates",,,,,QZEJ00000000,,,,SRP125145,Male,,"Washington University School of Medicine, Missouri, USA",,blood,41.44,90.7,1.4,89.3,4006,71708,35783,148.0,5.3,28771234,2.59,4.0,5,58542904,2943,1109232564,GCA_009194515.1,CaiMos1.0,Cairina moschata domestica (Muscovy Duck (domestic type)),Chromosome,100,89133.0,2417665.0,,Cairina_moschata,False,0
46,Chestnut-collared Longspur,Plectrophenacidae,Vulnerable,Passeriformes,monotypic,SAMN12253923,PRJNA545868,,,Canada,,22-Jul-07,732,WBNL00000000,51.09 N,111.26 W,USNM:641413,"SRR9946944, SRR9946934, SRR9946933",Male,"Pollockville, ca. 14 mi E","National Museum of Natural History, Smithsonian Institution, USA",Alberta,muscle,42.01,92.2,0.9,91.3,5971,46130,67712,73.0,4.4,42543262,4.03,3.4,219,1242950,10665,1056317178,GCA_013397715.1,ASM1339771v1,Calcarius ornatus (birds),Scaffold,73,52433.0,1242718.0,male,Calcarius_ornatus,False,0
47,Ruff,Scolopacidae,Least Concern,Charadriiformes,monotypic,SAMN03491621,"PRJNA305421, PRJNA281024",,Locality not given on NCBI,,,,,GCA_001431845.1,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",,,"Independently published, NCBI",,missing,42.45,95.1,1.7,93.4,3054,109237,34157,113.0,3.0,46140523,3.75,1.9,33,10060041,3753,1229094286,GCF_001431845.1,ASM143184v1,Calidris pugnax (ruff),Scaffold,113,109237.0,10060041.0,,Calidris_pugnax,False,0
48,North Island Kokako,Callaeidae,Near Threatened,Passeriformes,monotypic,SAMN12253743,PRJNA545868,,,New Zealand,,15-Nov,,VWPU00000000,38.47 S,175.06 E,"Metal band: 212792, colour band combination:GO-YM","SRR9994191, SRR9994192, SRR9947124",Female,Mapara Wildlife Management Reserve,"University of Otago, New Zealand",Te Mapara,blood,42.4,92.3,0.9,91.4,3504,81860,170697,123.0,4.9,1564372,0.15,2.8,2157,131023,154269,1063434911,GCA_013398955.1,ASM1339895v1,Callaeas wilsoni (North Island kokako),Scaffold,123,118426.0,133026.0,,Callaeas_wilsoni,False,0
49,Scaled Quail,Odontophoridae,Least Concern,Galliformes,unable to determine,SAMN04255336,PRJNA301734,,Coordinates approximate from locality information,USA,,,,GCA_002218305.1,,,,SRP068874,Female: Adult,Southern Texas Plains ecoregion,"Independently published, NCBI",Texas,"muscle, leg",41.72,94.2,1.4,92.8,1950,154132,59456,292.0,3.6,28352361,2.71,2.2,278,1035259,34302,1045281893,GCA_002218305.1,ASM221830v1,Callipepla squamata (scaled quail),Scaffold,292,154132.0,1035259.0,female,Callipepla_squamata,False,0
50,Nicobar Pigeon,Columbidae,Near Threatened,Columbiformes,unable to determine,SAMN12253981,PRJNA545868,Captive; commercial aviary,"Captive bird, hence no coordinates",,,,,VZSB00000000,,,N2009-0024,"SRR9853826, SRR9853827",Female,,"Exotic Wings International Aviary, Canada",,blood,41.89,88.4,0.9,87.5,4147,72340,36988,52.0,5.4,7024945,0.68,6.2,16,20885367,3686,1025562333,GCA_013398195.1,ASM1339819v1,Caloenas nicobarica (Nicobar pigeon),Scaffold,52,72340.0,20885367.0,female,Caloenas_nicobarica,False,0
51,Cory's Shearwater,Procellariidae,Least Concern,Procellariiformes,monotypic,SAMN12253995,PRJNA545868,,,Spain,Canarias,25-Jun-16,60,VZUG00000000,27.84 N,15.79 W,"6119913: ring no. ICONA, Madrid",SRR9853736,Female,Barranco de Veneguera,"Gonz‡lez-Sol’s lab, Universitat de Barcelona, Spain",Gran Canaria,blood,42.01,85.2,1.0,84.2,6701,47020,210366,130.0,9.6,739930,0.06,5.2,4880,64608,183884,1180118211,GCA_013401115.1,ASM1340111v1,Calonectris borealis (Cory's shearwater),Scaffold,130,63034.0,65340.0,female,Calonectris_borealis,False,0
52,Anna's Hummingbird,Trochilidae,Least Concern,Caprimulgiformes,monotypic,SAMN02265252,PRJNA212866,,"Coordinates not given on NCBI or publication, coordinates approximate",USA,,,,GCA_000699085.1,45.5 N,122.69 W,"A9B, A9T, A9B",SRP028275,Female,Portland,"Oregon Health and Sciences University, USA",Oregon,blood/muscle/liver,41.08,93.1,1.0,92.1,13362,23363,201701,110.0,4.0,38786660,3.48,2.9,82,4044606,122611,1114626264,GCF_000699085.1,ASM69908v1,Calypte anna (Anna's hummingbird),Scaffold,110,26738.0,4052191.0,female,Calypte_anna,False,0
53,Green Broadbill,Calyptomenidae,Near Threatened,Passeriformes,gloriosa,SAMN12253865,PRJNA545868,,,Malaysia,,26-Jun-99,1148,WEIV00000000,4.39 N,117.92 E,LSUMZ:B-36377,"SRR9946481, SRR9946482, SRR9946484, SRR9946487, SRR9946488",Female,"Tawau Hills, ca 3 km NE Park Headquarters","Louisiana State University Museum of Natural Science, USA",Sabah,muscle,41.43,84.6,0.8,83.8,11373,23416,405096,67.0,6.8,35511432,3.29,8.6,1600,162411,238827,1080103186,GCA_013390005.1,ASM1339000v1,Calyptomena viridis (green broadbill),Scaffold,67,40187.0,169242.0,female,Calyptomena_viridis,False,0
54,Curved-billed Scythebill,Dendrocolaptidae,Least Concern,Passeriformes,multostriatus,SAMN12253772,PRJNA545868,,,Brazil,,29-Aug-86,,WBMV00000000,3.65 S,52.37 W,USNM:572547,"SRR9994360, SRR9994362, SRR9994363",Female,"Altamira, 52 km SSW, E Bank Rio Xingu","National Museum of Natural History, Smithsonian Institution, USA",Para,muscle,41.76,94.4,0.8,93.6,4244,68481,120425,43.0,3.2,7797122,0.74,2.4,280,1019356,69660,1054320425,GCA_013396655.1,ASM1339665v1,Campylorhamphus procurvoides (birds),Scaffold,43,152160.0,1025016.0,female,Campylorhamphus_procurvoides,False,0
55,Northern Cardinal,Cardinalidae,Least Concern,Passeriformes,floridanus,SAMN12253819,PRJNA545868,,,USA,Okaloosa,3-May-01,,VYXE00000000,30.64 N,86.55 W,USNM:626494,"SRR10019928, SRR10019929, SRR10019930, SRR9947202",Female,"Eglin Afb, Okaloosa Tower","National Museum of Natural History, Smithsonian Institution, USA",Florida,muscle,42.05,92.6,1.0,91.6,4991,55309,149271,53.0,4.4,8470071,0.81,3.0,565,445835,94555,1045203253,GCA_013397215.1,ASM1339721v1,Cardinalis cardinalis (northern cardinal),Scaffold,53,90773.0,451346.0,female,Cardinalis_cardinalis,False,0
56,Red-legged Seriema,Cariamidae,Least Concern,Cariamiformes,monotypic,SAMN02318733,PRJNA212889,"Captive; Noorder Dierenpark, Emmen, Holland, hatched 29-6-2000","Captive bird, hence no coordinates",,,,,GCA_000690535.1,,,Legband: 295951 left leg,SRP028884,Male,,"Copenhagen Zoo, Denmark",,blood,41.33,85.2,0.5,84.7,20135,17075,245620,24.0,10.4,5934258,0.52,4.4,6077,54372,139845,1145705463,GCF_000690535.1,ASM69053v1,Cariama cristata (Red-legged seriema),Scaffold,24,24645.0,55197.0,male,Cariama_cristata,False,0
57,Southern Cassowary,Casuariidae,Least Concern,Casuariiformes,monotypic,SAMN12253744,PRJNA545868,"Captive; Jacksonville Zoo, Jacksonville, Florida, via University of Florida Natural History Museum. Hatched at Jacksonville Zoo, 25 May 1996.","Captive bird, hence no coordinates",,,,,VWPT00000000,,,"Tissue LSUMZ:B-50683, voucher FLMNH:42424","SRR9994312, SRR9994313, SRR9994314, SRR9994315, SRR9994316, SRR9994317, SRR9994318, SRR9994319, SRR9994320, SRR9994321, SRR9994374, SRR9994375, SRR9994376, SRR9994377, SRR9994378, SRR9994379, SRR9947119, SRR9947125, SRR9946636, SRR9946639, SRR9946408, SRR9946412, SRR9946415",Female,,"Louisiana State University Museum of Natural Science, USA",,muscle,41.48,94.4,0.9,93.5,4422,74444,37268,70.0,3.1,25141729,2.09,2.5,66,5669588,3215,1204586945,GCA_013396415.1,ASM1339641v1,Casuarius casuarius (southern cassowary),Scaffold,70,88589.0,5669588.0,female,Casuarius_casuarius,False,0
58,Turkey Vulture,Cathartidae,Least Concern,Accipitriformes,unable to determine,SAMN02319050,PRJNA212890,Wild caught,"Coordinates not given on NCBI or publication, locality imprecise",USA,,,,GCA_000699945.1,,,"1492, CR38",SRP028913,Female,,"Carolina Raptor Center, USA",North Carolina,blood,41.25,69.1,0.4,68.7,26888,12027,439449,25.0,17.5,14208906,1.2,13.4,9142,35361,265607,1179513848,GCA_000699945.1,ASM69994v1,Cathartes aura (turkey vulture),Scaffold,25,15248.0,36359.0,female,Cathartes_aura,False,0
59,Veery,Turdidae,Least Concern,Passeriformes,fuscescens,SAMN12253775,PRJNA545868,,,USA,Highland,9-Jun-98,1100-1140,VWYD00000000,8.59 N,79.64 W,USNM:587444,"SRR9946618, SRR9946619, SRR9946627",Female,"Monterey, 12.5 mi N, 3.5 mi W, George Washington National Forest, Buck Run","National Museum of Natural History, Smithsonian Institution, USA",Virginia,muscle,41.74,90.1,0.9,89.2,10000,28664,267081,45.0,6.0,10417231,0.99,3.9,938,270150,183456,1056937778,GCA_013398975.1,ASM1339897v1,Catharus fuscescens (veery),Scaffold,45,56061.0,276328.0,female,Catharus_fuscescens,False,0
60,Lesser Coucal,Cuculidae,Least Concern,Cuculiformes,philippinensis,SAMN12253924,PRJNA545868,,,Philippines,Baggao Municipality,28-Apr-89,,WBNK00000000,17.92 N,122.03 E,USNM:613053,"SRR9947364, SRR9947365, SRR9947366, SRR9947368, SRR9947369, SRR9947367, SRR9947035, SRR9947036, SRR9946959",Female,"Luzon, Barrio Santa Margarita, Baggao Mun.","National Museum of Natural History, Smithsonian Institution, USA",Cagayan,missing,42.12,92.0,1.0,91.0,9736,28614,76670,56.0,4.6,23793146,2.34,3.4,232,1200966,9410,1015677088,GCA_013400815.1,ASM1340081v1,Centropus bengalensis (lesser coucal),Scaffold,56,34951.0,1149962.0,female,Centropus_bengalensis,False,0
61,Rufous Coucal,Cuculidae,Near Threatened,Cuculiformes,monotypic,SAMN12253925,PRJNA545868,,,Philippines,Baggao Municipality,6-May-89,,VYZI00000000,17.85 N,121.98 E,USNM:607318,"SRR9947387, SRR9946794, SRR9946972, SRR9946510",Female,"Luzon, Barrio Via, Sitio Hot Springs, Baggao Mun.","National Museum of Natural History, Smithsonian Institution, USA",Cagayan,mixed tissue sample,42.04,94.2,1.0,93.2,4389,66277,38251,56.0,3.4,19517637,1.86,2.4,137,2073288,4898,1048838741,GCA_013397695.1,ASM1339769v1,Centropus unirufus (birds),Scaffold,56,79469.0,2055974.0,female,Centropus_unirufus,False,0
62,Amazonian Umbrellabird,Cotingidae,Least Concern,Passeriformes,monotypic,SAMN12253765,PRJNA545868,,,Brazil,,14-Aug-86,,VZRE00000000,3.65 S,52.37 W,USNM:541336,"SRR9946770, SRR9946771, SRR9946772",Female,"Altamira, 52 km SSW, E Bank Rio Xingu","National Museum of Natural History, Smithsonian Institution, USA",Para,muscle,41.78,92.1,1.0,91.1,5094,58402,109229,42.0,5.1,8125768,0.76,2.8,924,290842,66317,1066774997,GCA_013396775.1,ASM1339677v1,Cephalopterus ornatus (amazonian umbrellabird),Scaffold,42,75604.0,292884.0,female,Cephalopterus_ornatus,False,0
63,Black Guillemot,Alcidae,Least Concern,Charadriiformes,mandtii,SAMN12253990,PRJNA545868,,,USA,,,0,VZUD00000000,71.23 N,155.67 W,714-11005,"SRR9853782, SRR9853783, SRR9853824, SRR9853786",Female,Cooper Island,"Friesen Lab, Queen's University, Canada",Alaska,liver,43.44,91.2,1.0,90.2,10103,34123,978060,115.0,5.4,24551195,1.88,3.4,27,14351819,914548,1307487281,GCA_013401065.1,ASM1340106v1,Cepphus grylle (birds),Scaffold,115,39689.0,16187446.0,female,Cepphus_grylle,False,0
64,Karoo Scrub Robin,Muscicapidae,Least Concern,Passeriformes,unable to determine,SAMN12253994,PRJNA545868,,,South Africa,,23-Jun-07,168,WBND00000000,30.62 S,24.58 E,none,"SRR9853731, SRR9853732, SRR9853733, SRR9853734, SRR9853735",,Dwaalhoek farm,"Center for Evolutionary Hologenomics, University of Copenhagen, Denmark",Northern Cape,"muscle, pectoral",41.48,89.5,0.9,88.6,5907,47169,52250,320.0,6.3,45413065,4.41,4.2,291,1026434,5918,1029872817,,,,,,,,,Cercotrichas_coryphaeus,False,0
65,Short-toed Treecreeper,Certhiidae,Least Concern,Passeriformes,brachydactyla,SAMN12253843,PRJNA545868,,,Greece,,16-May-06,667,VXBV00000000,39.07 N,26.38 E,USNM:637436,"SRR10019892, SRR10019977, SRR10019978",Male,Mount Olympus,"National Museum of Natural History, Smithsonian Institution, USA",Lesvos,muscle,41.23,94.3,1.0,93.3,7788,38749,105707,49.0,3.5,8370379,0.81,2.2,326,868112,35677,1031668949,GCA_013400355.1,ASM1340035v1,Certhia brachydactyla (short-toed tree-creeper),Scaffold,49,76317.0,865393.0,male,Certhia_brachydactyla,False,0
66,Eurasian Treecreeper,Certhiidae,Least Concern,Passeriformes,macrodactyla,SAMN12253998,PRJNA545868,,,Germany,,7-Sep-15,103,WBNC00000000,49.64 N,8.34 E,MTD C65320,SRR9853694,Male,Worms,"Senckenberg Natural History Collections, Dresden, Germany",Rheinland-Pfalz,muscle,41.08,83.7,0.9,82.8,5917,48849,66929,64.0,8.8,43229800,4.05,7.5,320,859584,30265,1066591959,GCA_013398575.1,ASM1339857v1,Certhia familiaris (Eurasian tree-creeper),Scaffold,64,48850.0,857734.0,male,Certhia_familiaris,False,0
67,Cetti's Warbler,Scotocercidae,Least Concern,Passeriformes,unable to determine,SAMN12254007,PRJNA545868,,,Spain,,16-May,92,VZUI00000000,38.10 N,1.28 W,2L18122,SRR9853669,Male,"Rio Segura, Archena","Department. of Biology, Lund University, Sweden",Murcia,blood,42.07,86.0,1.1,84.9,4938,60835,172539,40.0,9.0,79846,0.01,5.0,4716,63436,171210,1073772651,GCA_013401135.1,ASM1340113v1,Cettia cetti (birds),Scaffold,40,62878.0,64977.0,male,Cettia_cetti,False,0
68,Yellowbill,Cuculidae,Least Concern,Cuculiformes,flavirostris,SAMN12253749,PRJNA545868,,,Ghana,,23-Mar-03,250,VWPQ00000000,6.62 N,2.66 W,LSUMZ:B-45261,"SRR9947023, SRR9947025, SRR9947027",Male,26 km SW Goaso,"Louisiana State University Museum of Natural Science, USA",Brong-Ahafo Region,muscle,40.82,84.8,0.7,84.1,11522,25789,84039,65.0,8.2,77790253,6.94,7.0,1800,163167,29921,1120355320,GCA_013398935.1,ASM1339893v1,Ceuthmochares aereus (birds),Scaffold,65,29269.0,163031.0,male,Ceuthmochares_aereus,False,0
69,Indigo-banded Kingfisher,Alcedinidae,Least Concern,Coraciiformes,cyanopectus,SAMN12253921,PRJNA545868,,,Philippines,Baggao Municipality,29-Apr-89,,VYZU00000000,17.92 N,122.03 E,USNM:607346,"SRR9946941, SRR9946942",Female,"Luzon, Barrio Santa Margarita","National Museum of Natural History, Smithsonian Institution, USA",Cagayan,mixed tissue sample,42.46,69.0,0.7,68.3,32456,6511,828459,70.0,13.4,89914676,7.8,17.6,8972,23877,617116,1152161797,GCA_013401355.1,ASM1340135v1,Ceyx cyanopectus (Indigo-banded kingfisher),Scaffold,70,14890.0,25847.0,female,Ceyx_cyanopectus,False,0
70,Rockjumper,Eupetidae,Near Threatened,Passeriformes,aurantius,SAMN12253910,PRJNA545868,,,South Africa,,16-Nov-94,2500,VZTR00000000,30.72 S,28.13 E,UWBM:52975,"SRR9947224, SRR9947225, SRR9947226, SRR9946578",Female,"Umtata, 95 km N, 65 km W; Naudesnek","Burke Museum of Natural History, University of Washington, USA",Eastern Cape Province,missing,41.85,88.4,1.0,87.4,14954,17761,387663,42.0,5.8,43772565,4.05,5.8,1048,243381,190320,1082118371,GCA_013400775.1,ASM1340077v1,Chaetops frenatus (Rufous rock-jumper),Scaffold,42,34663.0,250297.0,female,Chaetops_frenatus,False,0
71,Pygmy Drongo,Rhipiduridae,Least Concern,Passeriformes,monotypic,SAMN12253758,PRJNA545868,,,Papua New Guinea,,12-Oct-15,1200,VWYX00000000,5.72 S,145.27 E,NHMD:163925,"SRR9946567, SRR9946568",Unknown,Memeku,"Natural History Museum of Denmark, University of Copenhagen, Denmark",Madang Province,muscle,42.48,93.6,0.9,92.7,3492,83183,33966,69.0,3.8,9951606,0.95,2.6,401,715435,7929,1045139786,GCA_013396525.1,ASM1339652v1,Chaetorhynchus papuensis (pygmy drongo),Scaffold,69,96574.0,712200.0,,Chaetorhynchus_papuensis,False,0
72,Chimney Swift,Apodidae,Vulnerable,Caprimulgiformes,monotypic,SAMN02250957,PRJNA210808,,,USA,Cameron Parish,,0,GCA_000747805.1,29.78 N,93.24 W,LSUMZ:B-21727,SRP026688,Female,7 mile West Old Mouth Mermentau River,"Louisiana State University Museum of Natural Science, USA",Louisiana,muscle,41.44,93.8,0.7,93.1,11599,27656,133152,103.0,3.8,45230535,4.02,2.4,79,3839435,60234,1125117173,GCF_000747805.1,ChaPel_1.0,Chaetura pelagica (chimney swift),Scaffold,106,30757.0,3841852.0,female,Chaetura_pelagica,False,0
73,Kentish Plover,Charadriidae,Least Concern,Charadriiformes,unable to determine,,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/undefined"" target=""_blank"">undefined</a>",,"Source coordinates mixed up Latitude and Longitude, and have E instead of N in Latitude",China,,14-Nov,20,"<a href=""https://www.ncbi.nlm.nih.gov/nuccore/undefined"" target=""_blank"">undefined</a>",23.10 N,113.29 E,SYSU:b6699,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Female,"Xitou, Yangjiang county,","BioMusuem, Sun Yat-sen University, Guangzhou, China",Guangdong,muscle,42.67,90.2,1.1,89.1,9113,38982,194903,134.0,6.6,38129714,3.06,3.2,107,3220723,126040,1245524081,,,,,,,,,Charadrius_alexandrinus,False,0
74,Killdeer,Charadriidae,Least Concern,Charadriiformes,vociferus (?),SAMN02296710,PRJNA212867,,,Peru,,,140,GCA_000708025.2,3.81 S,80.49 W,LSUMZ:B-66055,SRP028286,Female,25 km SE Zorritos,"Louisiana State University Museum of Natural Science, USA",Tumbes,muscle,41.92,94.0,0.8,93.2,10949,32204,130696,100.0,3.8,34324620,2.8,2.2,99,3624371,55490,1225311256,GCF_000708025.1,ASM70802v2,Charadrius vociferus (killdeer),Scaffold,100,39278.0,3657050.0,female,Charadrius_vociferus,False,0
75,Southern Screamer,Anhimidae,Least Concern,Anseriformes,monotypic,SAMN12253900,PRJNA545868,,Coordinates cannot be approximated confidently from information,Argentina,,13-Feb-92,,VXAL00000000,,,USNM:614546,"SRR9947077, SRR9946445",Male,"General Libertador San Martin and Anahi, Between","National Museum of Natural History, Smithsonian Institution, USA",Entre Rios,muscle,41.69,87.0,0.9,86.1,12273,24787,243400,45.0,6.5,32275565,2.76,6.5,1360,231212,96439,1171074192,GCA_013399475.1,ASM1339947v1,Chauna torquata (southern screamer),Scaffold,45,39550.0,232486.0,male,Chauna_torquata,False,0
76,Black-faced Sheathbill,Chionidae,Least Concern,Charadriiformes,marionensis,SAMN12253976,PRJNA545868,,Coordinates approximate from locality information,South Africa,Marion Island,,,VZSF00000000,46.87 S,37.85 E,,"SRR9853836, SRR9853837",,between the meterological station and van den Boogaards River (ca 800 m NW of the station),"Percy Fitzpatrick Institute of Ornithology, South Africa",Prince Edward Islands,missing,42.57,94.2,0.9,93.3,6226,55587,87853,50.0,3.5,6131267,0.52,2.3,545,596430,37247,1176400737,GCA_013398295.1,ASM1339829v1,Chionis minor (black-faced sheathbill),Scaffold,50,128427.0,592381.0,,Chionis_minor,False,0
77,MacQueen's Bustard,Otididae,Vulnerable,Otidiformes,monotypic,SAMN02324157,PRJNA212891,"Wild caught, male Houbara",Coordinates approximate from locality information,,,,,GCA_000695195.1,,,12533,SRP028950,Male,,"Dubai Falcon Hospital, UAE",,blood,41.19,85.2,0.6,84.6,18499,17746,180480,27.0,10.6,6609386,0.6,4.2,6980,44857,84700,1095295809,GCF_000695195.1,ASM69519v1,Chlamydotis macqueenii (Macqueen's bustard),Scaffold,27,21641.0,45221.0,male,Chlamydotis_macqueenii,False,0
78,American Pygmy Kingfisher,Alcedinidae,Least Concern,Coraciiformes,aenea,SAMN12253811,PRJNA545868,,,Guyana,,6-Sep-98,250,VWZY00000000,1.38 N,58.93 W,USNM:625133,"SRR10019942, SRR9947277",Female,North Side Acari Mountains,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.7,90.8,0.6,90.2,14371,19601,237142,44.0,5.8,30008195,2.81,3.4,918,323453,67943,1067751506,GCA_013399075.1,ASM1339907v1,Chloroceryle aenea (American pygmy kingfisher),Scaffold,44,34835.0,324840.0,female,Chloroceryle_aenea,False,0
79,Hawaii Amakihi,Fringillidae,Least Concern,Passeriformes,virens,SAMN02854552,PRJNA252695,,Coordinates approximate from locality information,USA,,22-Feb-02,<300,GCA_003286495.1,,,USGS band:1771-10606,SRP051205,Female,"Nanawale, Hawaii Island","Center for Conservation Genomics, National Zoological Park, Smithsonian Institution, USA",Hawaii,blood,41.84,91.3,1.2,90.1,9525,30817,95049,60.0,5.6,22431546,2.17,3.1,85,3340284,9858,1032168602,GCA_003286495.1,ASM328649v1,Chlorodrepanis virens (Hawaii amakihi),Scaffold,21,23480.0,69780276.0,female,Chlorodrepanis_virens,False,0
80,Lesser Green Leafbird,Irenidae,Near Threatened,Passeriformes,cyanopogon,SAMN12253867,PRJNA545868,,,Malaysia,,22-Jan-04,180,WEZZ00000000,6.29 N,116.71 E,LSUMZ:B-47034,"SRR9946850, SRR9946855, SRR9946856, SRR9946857",Female,"Kinabalu Park, Serinsim, 180","Louisiana State University Museum of Natural Science, USA",Sabah,muscle,42.43,80.3,1.0,79.3,15886,15961,494807,65.0,7.4,38716333,3.81,12.3,2262,100780,320697,1017099361,GCA_013400585.1,ASM1340058v1,Chloropsis cyanopogon (birds),Scaffold,65,24720.0,106723.0,female,Chloropsis_cyanopogon,False,0
